"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"AB 1756-CNBR SER E Control Net Redundant Bridge Module","AB 1756-CNBR SER E Control Net Redundant Bridge Module",0,"Non-Inventory","Single","Net Redundant Bridge Module","AB 1756-CNBR","No","","","","","","","","","","",,,"Services","","","AB 1756-CNBR SER E Control Net Redundant Bridge Module",,
"AB 1756-L61 SER B Control Logix 2MB Memory","AB 1756-L61 SER B Control Logix 2MB Memory",0,"Non-Inventory","Single","Control Logix 2MB Memory","AB 1756-L61 SER B","No","","","","","","","","","","",,,"Services","","","AB 1756-L61 SER B Control Logix 2MB Memory",,
"AB 1786-TPYR SER C NSNP","AB 1786-TPYR SER C NSNP",0,"Non-Inventory","Single","AB 1786-TPYR SER C NSNP","AB 1786-TPYR","No","","","","","","","","","","",,,"Services","","","AB 1786-TPYR SER C NSNP",,
"AB 1786TPYR SER C Control Net Coaxial Cable Y Tap","AB 1786TPYR SER C Control Net Coaxial Cable Y Tap",0,"Non-Inventory","Single","Control Net Coaxial Cable Y Tap","AB 1786TPYR SER C","No","","","","","","","","","","",,,"Services","","","AB 1786TPYR SER C Control Net Coaxial Cable Y Tap",,
"AB 1786TPYR SER C Control Net Coaxial Cable Y Tap","AB 1786TPYR SER C Control Net Coaxial Cable Y Tap",0,"Non-Inventory","Single",,"AB 1786TPYR SER C","No","","","","","","","","","","",,,"Services","","",,,
"AB 1786TPYS SER C CAT REV H01 Control Net Tap","AB 1786TPYS SER C CAT REV H01 Control Net Tap",0,"Non-Inventory","Single","Control Net Tap","Control Net Tap","No","","","","","","","","","","",,,"Services","","","AB 1786TPYS SER C CAT REV H01 Control Net Tap",,
"AB 1794-ACNR15 D FLEX I/O Redundant Adapter Module","AB 1794-ACNR15 D FLEX I/O Redundant Adapter Module",0,"Non-Inventory","Single","Redundant Adapter Module","AB 1794-ACNR15 D FLEX","No","","","","","","","","","","",,,"Services","","","AB 1794-ACNR15 D FLEX I/O Redundant Adapter Module",,
"AB 1794-TB2 SERIS A, Flex TERMINAL BASE","AB 1794-TB2 SERIS A, Flex TERMINAL BASE",0,"Non-Inventory","Single","Flex TERMINAL BASE","AB 1794-TB2 SERIS A","No","","","","","","","","","","",,,"Services","","","AB 1794-TB2 SERIS A, Flex TERMINAL BASE",,
"AB 1794-TB3","AB 1794-TB3",0,"Non-Inventory","Single",,"AB 1794-TB3","No","","","","","","","","","","",,,"Services","","","AB 1794-TB3",,
"AB MPL-B640F-MJ74AA","AB MPL-B640F-MJ74AA",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",,,"Services","","",,,
"ALLEN BRADLEY 42GRU-9002-QD SER B PHOTOSWITCH","ALLEN BRADLEY 42GRU-9002-QD SER B PHOTOSWITCH",0,"Non-Inventory","Single",,"42GRU-9002-QD","No","","","","","","","","","","",,,"Services","Purchases","","Photoelectric Sensor,9000 Series,Standard Retroreflective,Standard ON/OFF,AC/DC SPDT Relay ,5 Pin AC/DC Mini QD","Photoelectric Sensor,9000 Series,Standard Retroreflective,Standard ON/OFF,AC/DC SPDT Relay ,5 Pin AC/DC Mini QD",
"AMI Bearing MUCF211-32","AMI Bearing MUCF211-32",0,"Non-Inventory","Single","Bearings:Flange Bearings","MUCF211-32","No","","","","","","","","","","",602.85,422,"Services","Purchases","","Flange-Mount Ball Bearing Unit - 2 in Bore, 4-Bolt Flange, Set Screw Locking, 304 Stainless Steel Housing Material, Non-Expansion Bearing (Fixed), Contact Seal with Flinger Seal","Flange-Mount Ball Bearing Unit - 2 in Bore, 4-Bolt Flange, Set Screw Locking, 304 Stainless Steel Housing Material, Non-Expansion Bearing (Fixed), Contact Seal with Flinger Seal",
"AMI Bearing MUCFBL205-16CEW","AMI Bearing MUCFBL205-16CEW",0,"Non-Inventory","Single","Bearings:Flange Bearings","MUCFBL205-16CEW","No","","","","","","","","","","",174.28,122,"Services","Purchases","","Flange-Mount Ball Bearing Unit - 1 in Bore, 3-Bolt Bracket, Set Screw Locking, PBT Thermoplastic Housing Material, Non-Expansion Bearing (Fixed),Contact Seal with Flinger Seal","Flange-Mount Ball Bearing Unit - 1 in Bore, 3-Bolt Bracket, Set Screw Locking, PBT Thermoplastic Housing Material, Non-Expansion Bearing (Fixed),Contact Seal with Flinger Seal",
"AMI Bearing MUCFPL205-16CEW","AMI Bearing MUCFPL205-16CEW",0,"Non-Inventory","Single","Bearings:Flange Bearings","MUCFPL205-16CEW","No","","","","","","","","","","",174.28,122,"Services","Purchases","","Four-Bolt Flange Ball Bearing Unit - 1 in Bore, 4-Bolt Flange, Set Screw Locking, Thermoplastic Housing Material, Non-Expansion Bearing (Fixed),Contact Seal with Flinger Seal","Four-Bolt Flange Ball Bearing Unit - 1 in Bore, 4-Bolt Flange, Set Screw Locking, Thermoplastic Housing Material, Non-Expansion Bearing (Fixed),Contact Seal with Flinger Seal",
"AMI Bearing MUCNFL205-16CEW","AMI Bearing MUCNFL205-16CEW",0,"Service","Single","Bearings:Flange Bearings","MUCNFL205-16CEW","No","","","","","","","","","","",174.28,122,"Services","Purchases","","Two-Bolt Flange Ball Bearing Unit - 1 in Bore, 2-Bolt Flange,Thermoplastic Housing Material, Non-Expansion Bearing (Fixed), Standard Duty, Contact Seal with Flinger Seal","Two-Bolt Flange Ball Bearing Unit - 1 in Bore, 2-Bolt Flange,Thermoplastic Housing Material, Non-Expansion Bearing (Fixed), Standard Duty, Contact Seal with Flinger Seal",
"AMI Bearing MUCPPL205-16CEW","AMI Bearing MUCPPL205-16CEW",0,"Non-Inventory","Single","Bearings:Flange Bearings","MUCPPL205-16CEW","No","","","","","","","","","","",174.28,122,"Services","Purchases","","Pillow Block Ball Bearing Unit - 2-Bolt Base, 1 in Bore, PBT Thermoplastic Material, Non-Expansion Bearing (Fixed)","Pillow Block Ball Bearing Unit - 2-Bolt Base, 1 in Bore, PBT Thermoplastic Material, Non-Expansion Bearing (Fixed)",
"ARM ACTR LVR LIMIT SW SQD","ARM ACTR LVR LIMIT SW SQD",0,"Non-Inventory","Single",,"3742745","No","","","","","","","","","","",,,"Services","Purchases","","3742745","3742745",
"ARMSTRONG Flange Kits, 1-½ inch, 816009-211K","ARMSTRONG Flange Kits, 1-½ inch, 816009-211K",0,"Non-Inventory","Single",,"816009-211K","No","","","","","","","","","","",,,"Services","Purchases","","1-½ inch FNPT, Flange, 2 Flanges Included","1-½ inch FNPT, Flange, 2 Flanges Included",
"AZULLE I3 WIN 10 IOT ENT 2021 LTSC, 968TW21VL0","AZULLE I3 WIN 10 IOT ENT 2021 LTSC, 968TW21VL0",0,"Non-Inventory","Single",,"968TW21VL0","Yes","","","","","","","","","","",,,"Services","Purchases","","Product Versions:Windows 10 IoT Core/ Windows 10 IoT Enterprise","Product Versions:Windows 10 IoT Core/ Windows 10 IoT Enterprise",
"Air Filter Roll 6U590","Air Filter Roll 6U590",0,"Non-Inventory","Single",,"6U590","No","","","","","","","","","","",,,"Services","","","36 in Nominal Ht, 25 ft Nominal Wd, MERV 1, Foam, Black, 1/4 in Actual Thick",,
"Allen Bradley 1492-SP Miniature Circuit Breaker","Allen Bradley 1492-SP Miniature Circuit Breaker",0,"Non-Inventory","Single",,"1492-SP","No","","","","","","","","","","",49.4,38,"Services","Purchases","","1-Pole, 5A, Type C, 277V ac AC, 48 V dc DC, 10 kA Breaking Capacity","1-Pole, 5A, Type C, 277V ac AC, 48 V dc DC, 10 kA Breaking Capacity",
"Allen Bradley 1747-M13","Allen Bradley 1747-M13",0,"Non-Inventory","Single",,"1747-M13","No","","","","","","","","","","",293.33,220,"Services","Purchases","","Memory Module, SLC 500 EEPROM","Memory Module, SLC 500 EEPROM",
"Allen Bradley 1786-RG6","Allen Bradley 1786-RG6",0,"Non-Inventory","Single",,"1786-RG6","No","","","","","","","","","","",1725,1380,"Services","Purchases","","ControlNet RG6 Quad Shield Coax Cable","ControlNet RG6 Quad Shield Coax Cable",
"Allen Bradley 1786-TPYR /C","Allen Bradley 1786-TPYR /C",0,"Non-Inventory","Single",,"1786-TPYR /C","No","","","","","","","","","","",197.46,146.27,"Services","Purchases","","Rev H01 CONTROLNET RIGHT ANGLE Y-TAP CONNECTOR","Rev H01 CONTROLNET RIGHT ANGLE Y-TAP CONNECTOR",
"Allen Bradley 800T-H48A, Switch Lock","Allen Bradley 800T-H48A, Switch Lock",0,"Non-Inventory","Single",,"800T-H48A","No","","","","","","","","","","",,,"Services","Purchases","","30.5mm Type 4/13 2 Pos. Cylinder Lock","30.5mm Type 4/13 2 Pos. Cylinder Lock",
"Allen Bradley ControlLogix, 1756-BA2","Allen Bradley ControlLogix, 1756-BA2",0,"Non-Inventory","Single",,"1756-BA2","No","","","","","","","","","","",200.08,164,"Services","Purchases","","Lithium Battery for Processor Ser B","Lithium Battery for Processor Ser B",
"Allen Bradley SLC 500 Series PLC, 1747-L551","Allen Bradley SLC 500 Series PLC, 1747-L551",0,"Non-Inventory","Single",,"1747-L551","No","","","","","","","","","","",2812.5,2250,"Services","Purchases","","SLC 5/05 16K Controller1746","SLC 5/05 16K Controller1746",
"Allen Bradley part # 1786-BNC","Allen Bradley part # 1786-BNC",0,"Service","Single","Allen Bradley","1786-BNC","No","","","","","","","","","","",21.99,,"Services","Purchases","","BNC connector, IP20, 75 ohm crimp type","BNC connector, IP20, 75 ohm crimp type",
"Allen Bradley part # 1786-RG6","Allen Bradley part # 1786-RG6",0,"Non-Inventory","Single","Allen Bradley","1786-RG6","No","","","","","","","","","","",1699.99,,"Services","Purchases","","RG6 quad-shield coax cable, Standard PVC, 1000 ft. roll,","RG6 quad-shield coax cable, Standard PVC, 1000 ft. roll,",
"Allen Bradley part # 1786-TPYR","Allen Bradley part # 1786-TPYR",0,"Non-Inventory","Single",,"1786-TPYR","No","","","","","","","","","","",264.99,,"Services","Purchases","","Y-Tap, 1 meter drop cable with straight BNC connector for ControlNet","Y-Tap, 1 meter drop cable with straight BNC connector for ControlNet",
"Allen Bradley part # 1786-XT","Allen Bradley part # 1786-XT",0,"Non-Inventory","Single","Allen Bradley","1786-XT","No","","","","","","","","","","",23.99,,"Services","Purchases","","Termination resistor, IP20, BNC plug, 75 ohm","Termination resistor, IP20, BNC plug, 75 ohm",
"Allen Bradley part # 1786-BNCJI","Allen Bradley part # 1786-BNCJI",0,"Non-Inventory","Single","Allen Bradley","1786-BNCJI","No","","","","","","","","","","",,,"Services","Purchases","","Isolated Bulkhead, IP20, jack-to-jack BNC to BNC","Isolated Bulkhead, IP20, jack-to-jack BNC to BNC",
"Allen Bradley, 1786-RPA","Allen Bradley, 1786-RPA",0,"Non-Inventory","Single",,"1786-RPA","No","","","","","","","","","","",477.33,358,"Services","Purchases","","ControlNet Modular Repeater Adapter","ControlNet Modular Repeater Adapter",
"Allen-Bradley 1756-RM2 is a ControlLogix Redundancy Module","Allen-Bradley 1756-RM2 is a ControlLogix Redundancy Module",0,"Non-Inventory","Single",,"1756-RM2","No","","","","","","","","","","",2339.99,1874,"Services","Purchases","","1000 Mbps synchronization speed and Controller switchover of 20 ms","1000 Mbps synchronization speed and Controller switchover of 20 ms",
"Allen-Bradley 1756-RMC3 Fiber Cable","Allen-Bradley 1756-RMC3 Fiber Cable",0,"Non-Inventory","Single",,"1756-RMC3","No","","","","","","","","","","",289.99,224,"Services","Purchases","","RM Fiber Optic Cable, 3 Meter","RM Fiber Optic Cable, 3 Meter",
"Allen-Bradley 800T-D1 Push Button","Allen-Bradley 800T-D1 Push Button",0,"Non-Inventory","Single",,"800T-D1","No","","","","","","","","","","",127.17,97.82,"Services","Purchases","","nema rating of 4, 13. It has a mushroom head actuator type","nema rating of 4, 13. It has a mushroom head actuator type",
"Allen-Bradley 800T-XD1M Contact Block","Allen-Bradley 800T-XD1M Contact Block",0,"Non-Inventory","Single",,"800T-XD1M","No","","","","","","","","","","",,,"Services","Purchases","","30mm Push Button, 1 Normally Open Contact","30mm Push Button, 1 Normally Open Contact",
"Allen-Bradley Cordset, 889R-F4AEA-5","Allen-Bradley Cordset, 889R-F4AEA-5",0,"Non-Inventory","Single",,"889R-F4AEA-5","No","","","","","","","","","","",81.25,65,"Services","Purchases","","Cable Length: 5 meters, Connector Type: Features a 4-pin M12 connector,","Cable Length: 5 meters, Connector Type: Features a 4-pin M12 connector,",
"Allen-Bradley DC Micro Cable, 889D-F4AC-5","Allen-Bradley DC Micro Cable, 889D-F4AC-5",0,"Non-Inventory","Single",,"889D-F4AC-5","No","","","","","","","","","","",54.6,39,"Services","Purchases","","Straight (Int Threads),Female, Straight (int threads),4 Pins,Standard Materials,4 Pins,Cable,No Connector,Cable IEC Stndrd Color Code,No Connector,Same as First End,PVC Cbl, Yellow, UnShld,22AWG,PVC Cable, Yellow, 22AWG,Cable IEC Stndrd Color Code,Standard,5 m","Straight (Int Threads),Female, Straight (int threads),4 Pins,Standard Materials,4 Pins,Cable,No Connector,Cable IEC Stndrd Color Code,No Connector,Same as First End,PVC Cbl, Yellow, UnShld,22AWG,PVC Cable, Yellow, 22AWG,Cable IEC Stndrd Color Code,Standard,5 m",
"Allen-Bradley DC Micro Cable,Female, 889D-R4AC-5","Allen-Bradley DC Micro Cable,Female, 889D-R4AC-5",0,"Non-Inventory","Single",,"889D-R4AC-5","No","","","","","","","","","","",54.83,42.18,"Services","Purchases","","Rt Angle (Int Threads),Female, Right Angle (int threa,4 Pins,Standard Materials,4 Pins,Cable,No Connector,Cable IEC Stndrd Color Code,No Connector,Same as First End,PVC Cbl, Yellow, UnShld,22AWG,PVC Cable, Yellow, 22AWG,Cable IEC Stndrd Color Code,Standard,5 m","889D-R4AC-5",
"Allen-Bradley GP Slim Line Relay, 700-HK36A1","Allen-Bradley GP Slim Line Relay, 700-HK36A1",0,"Non-Inventory","Single",,"700-HK36A1","No","","","","","","","","","","",52.5,42,"Services","Purchases","","120V 50/60Hz,Standard Contacts,1 Changeover Contact(SPDT)16A","120V 50/60Hz,Standard Contacts,1 Changeover Contact(SPDT)16A",
"Allen-Bradley Metal Plug-In Oiltight Limit Switch, 802T-AP","Allen-Bradley Metal Plug-In Oiltight Limit Switch, 802T-AP",0,"Non-Inventory","Single",,"802T-AP","No","","","","","","","","","","",215.38,168,"Services","Purchases","","0.29 nM 2-Circuit 90 Degrees Travel Plug-In Oiltight Limit Switch","0.29 nM 2-Circuit 90 Degrees Travel Plug-In Oiltight Limit Switch",
"Allen-Bradley Servo Motor, MPL-A430P-MJ22AA","Allen-Bradley Servo Motor, MPL-A430P-MJ22AA",0,"Non-Inventory","Single","Motor","MPL-A430P-MJ22AA","No","","","","","","","","","","",5920,4440,"Services","Purchases","","MPL series offers high performance and reliability","MPL series offers high performance and reliability",
"Allen-Bradley, 140M-C-WTEN","Allen-Bradley, 140M-C-WTEN",0,"Non-Inventory","Single",,"140M-C-WTEN","No","","","","","","","","","","",75.51,60.41,"Services","Purchases","","COMPACT BUS BAR FEEDER TERMINAL","COMPACT BUS BAR FEEDER TERMINAL",
"Allen-Bradley, 1786-RPCD","Allen-Bradley, 1786-RPCD",0,"Non-Inventory","Single",,"1786-RPCD","No","","","","","","","","","","",330.67,248,"Services","Purchases","","Repeater Adaptor,ControlNet,Communication Module,Hub,24V DC,Coaxial BNC,Dual Connectors,DIN Rail Mounting","Repeater Adaptor,ControlNet,Communication Module,Hub,24V DC,Coaxial BNC,Dual Connectors,DIN Rail Mounting",
"Allen-Bradley, 800T-J38A","Allen-Bradley, 800T-J38A",0,"Non-Inventory","Single",,"800T-J38A","No","","","","","","","","","","",,,"Services","Purchases","","800T PB,30mm Selector Switch,3 Position Selector Switch,Standard KB7 Cam","800T PB,30mm Selector Switch,3 Position Selector Switch,Standard KB7 Cam",
"Allen-Bradley, CAT 1756-A7","Allen-Bradley, CAT 1756-A7",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",845.99,770,"Services","Purchases","","Controllogix 7 Slots Chassis, Amperage: 15 Amp","Controllogix 7 Slots Chassis, Amperage: 15 Amp",
"Altelix Cable Glands for Pre-Terminated Cables","Altelix Cable Glands for Pre-Terminated Cables",0,"Non-Inventory","Single",,"HG25B-4X","No","","","","","","","","","","",9.99,6.99,"Services","Purchases","","HG25B-4X","HG25B-4X",
"Aluminum Electrolytic Capacitor PSU3030","Aluminum Electrolytic Capacitor PSU3030",0,"Non-Inventory","Single",,"PSU3030","No","","","","","","","","","","",,,"Services","Purchases","","Aluminum Electrolytic - 30uF - Tolerance +20% - 330VAC - 36.5 x 85.7mm - Bracket Mount - Dual Quick Connect - 65°C","Aluminum Electrolytic - 30uF - Tolerance +20% - 330VAC - 36.5 x 85.7mm - Bracket Mount - Dual Quick Connect - 65°C",
"Ameresco 90JB-V Solar Panel 90 Watt 24v","Ameresco 90JB-V Solar Panel 90 Watt 24v",0,"Non-Inventory","Single",,"90JB-V","No","","","","","","","","","","",309.99,,"Services","Purchases","","Junction box IP65 with 4 terminal screw connection block","Junction box IP65 with 4 terminal screw connection block",
"Amyhill Aluminum Welding Plate 6061 T651 Aluminum Sheet Metal","Amyhill Aluminum Welding Plate 6061 T651 Aluminum Sheet Metal",0,"Non-Inventory","Single",,,"No","","","","","","","","","","",49.99,35.99,"Services","Purchases","","2 x 4 x 1/8 (0.13”) Inch Thin Flat Plain, Accessories Beginner for Mig Tig Stick Mma Arc Gas Heat for Crafting Industry","2 x 4 x 1/8 (0.13”) Inch Thin Flat Plain, Accessories Beginner for Mig Tig Stick Mma Arc Gas Heat for Crafting Industry",
"Anybus Communicator CAN Gateways, AB7318-B","Anybus Communicator CAN Gateways, AB7318-B",0,"Non-Inventory","Single",,"AB7318-B","No","","","","","","","","","","",1491.03,,"Services","Purchases","","Gateways CAN-EtherNetIP Slave (2 Port)","Gateways CAN-EtherNetIP Slave (2 Port)",
"Auxiliary Contact, 140M-C-ASA20","Auxiliary Contact, 140M-C-ASA20",0,"Non-Inventory","Single",,"140M-C-ASA20","No","","","","","","","","","","",,,"Services","Purchases","","RIGHT SIDE-MOUNTED, FOR 140M-C/D/F FRAME CIRCUIT BREAKERS","RIGHT SIDE-MOUNTED, FOR 140M-C/D/F FRAME CIRCUIT BREAKERS",
"BAGGAGE CHUTE RIGHT SIDE","BAGGAGE CHUTE RIGHT SIDE",0,"Non-Inventory","Single",,"BKW1851-R","No","","","","","","","","","","",,,"Services","","","BKW1851-R",,
"BALDOR BRAKE","BALDOR BRAKE",0,"Non-Inventory","Single","Brake","1-056-021-00-BQF STEARNS","No","","","","","","","","","","",766.66,575,"Services","Purchases","","BALDOR BRAKE 1-056-021-00-BQF STEARNS","BALDOR BRAKE 1-056-021-00-BQF STEARNS",
"BALDOR General Purpose Motor, VEM3558T","BALDOR General Purpose Motor, VEM3558T",0,"Non-Inventory","Single","Motor","VEM3558T","No","","","","","","","","","","",,,"Services","Purchases","","Totally Enclosed Fan Cooled, C-Face Mount, 2 HP, 208-230/460V AC","Totally Enclosed Fan Cooled, C-Face Mount, 2 HP, 208-230/460V AC",
"BALDOR MOTOR EHM3218T","BALDOR MOTOR EHM3218T",0,"Service","Single",,"EHM3218T","No","","","","","","","","","","",608,456,"Services","Purchases","","General Purpose HVAC Motor, 230/460V, 1800 RPM, 5 hp, 3 Phase, ODP, 184T Frame","General Purpose HVAC Motor, 230/460V, 1800 RPM, 5 hp, 3 Phase, ODP, 184T Frame",
"BC-PRT-DR-SFT SFT","BC-PRT-DR-SFT SFT",0,"Non-Inventory","Single","Shaft",,"No","","","","","","","","","","",421,357.85,"Services","Purchases","","ER 23 X 54-1/16 FL KWY","ER 23 X 54-1/16 FL KWY",
